fecha_hora_registro,lugar_nombre,latitude,longitude,valor_ica,observaciones,fuente
2026-06-23T15:49:18.526000+00:00,LA PAZ,-16.5424872,-68.0716009,66.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.519000+00:00,LA PAZ,-16.5424872,-68.0716009,62.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.512000+00:00,LA PAZ,-16.5424872,-68.0716009,100.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.505000+00:00,LA PAZ,-16.5424872,-68.0716009,112.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.498000+00:00,LA PAZ,-16.5424872,-68.0716009,154.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.491000+00:00,LA PAZ,-16.5424872,-68.0716009,144.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.484000+00:00,LA PAZ,-16.5424872,-68.0716009,128.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.476000+00:00,LA PAZ,-16.5424872,-68.0716009,158.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.469000+00:00,LA PAZ,-16.5424872,-68.0716009,122.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.462000+00:00,LA PAZ,-16.5424872,-68.0716009,128.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.455000+00:00,LA PAZ,-16.5424872,-68.0716009,82.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.447000+00:00,LA PAZ,-16.5424872,-68.0716009,78.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.441000+00:00,LA PAZ,-16.5424872,-68.0716009,68.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.433000+00:00,LA PAZ,-16.5424872,-68.0716009,60.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.426000+00:00,LA PAZ,-16.5424872,-68.0716009,78.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.419000+00:00,LA PAZ,-16.5424872,-68.0716009,62.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.412000+00:00,LA PAZ,-16.5424872,-68.0716009,62.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.404000+00:00,LA PAZ,-16.5424872,-68.0716009,26.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.396000+00:00,LA PAZ,-16.5424872,-68.0716009,10.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.389000+00:00,LA PAZ,-16.5424872,-68.0716009,4.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.375000+00:00,LA PAZ,-16.5424872,-68.0716009,168.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.368000+00:00,LA PAZ,-16.5424872,-68.0716009,82.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.361000+00:00,LA PAZ,-16.5424872,-68.0716009,66.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-23T15:49:18.344000+00:00,LA PAZ,-16.5424872,-68.0716009,38.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T09:03:45.956000+00:00,LA PAZ,-16.5424872,-68.0716009,64.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T08:33:43.247000+00:00,LA PAZ,-16.5424872,-68.0716009,56.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T07:03:22.755000+00:00,LA PAZ,-16.5424872,-68.0716009,54.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T07:03:22.740000+00:00,LA PAZ,-16.5424872,-68.0716009,120.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T05:03:11.744000+00:00,LA PAZ,-16.5424872,-68.0716009,136.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T04:03:14.824000+00:00,LA PAZ,-16.5424872,-68.0716009,166.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T03:03:00.759000+00:00,LA PAZ,-16.5424872,-68.0716009,158.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T02:03:01.867000+00:00,LA PAZ,-16.5424872,-68.0716009,116.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T01:02:48.820000+00:00,LA PAZ,-16.5424872,-68.0716009,156.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-22T00:02:50.113000+00:00,LA PAZ,-16.5424872,-68.0716009,90.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T23:02:37.309000+00:00,LA PAZ,-16.5424872,-68.0716009,84.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T22:02:36.996000+00:00,LA PAZ,-16.5424872,-68.0716009,50.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T21:02:30.999000+00:00,LA PAZ,-16.5424872,-68.0716009,34.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T21:02:30.990000+00:00,LA PAZ,-16.5424872,-68.0716009,70.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T19:02:10.051000+00:00,LA PAZ,-16.5424872,-68.0716009,78.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T18:02:03.980000+00:00,LA PAZ,-16.5424872,-68.0716009,62.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T17:02:04.140000+00:00,LA PAZ,-16.5424872,-68.0716009,68.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T16:32:01.060000+00:00,LA PAZ,-16.5424872,-68.0716009,90.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T15:01:44.343000+00:00,LA PAZ,-16.5424872,-68.0716009,60.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T14:31:41.454000+00:00,LA PAZ,-16.5424872,-68.0716009,46.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T13:01:35.234000+00:00,LA PAZ,-16.5424872,-68.0716009,76.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T12:01:29.194000+00:00,LA PAZ,-16.5424872,-68.0716009,82.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T11:01:16.245000+00:00,LA PAZ,-16.5424872,-68.0716009,60.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T10:01:10.246000+00:00,LA PAZ,-16.5424872,-68.0716009,88.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T10:01:10.239000+00:00,LA PAZ,-16.5424872,-68.0716009,86.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
